Unnamed: 0,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
0,70.49013553997807,32.53428893425564,4.147552057933908,0.0,0.7558724968222936,4.469297224036599,80.17278016724106,5.962431450158118,12.0,666.0,17.243605902402436,376.99924232912974,24.500744579431544,42.6568963191404
1,65.65699161375352,51.2722969924169,27.2770699362224,0.0,0.570846335867312,5.025810659069536,75.36558077724219,7.895723332101355,9.0,389.0,14.466691163186573,203.3908956411662,8.155490425955469,21.610083202595163
2,1.8746525700504257,70.32810421636366,25.314205085167156,0.0,0.727525948549281,6.387308129804082,5.904005201418939,7.115785442731421,20.0,664.0,15.505249805506928,96.33270446050793,31.29019363191725,28.029687289996684
3,1.1548129057879235,24.29941711060731,1.5943456200773827,0.0,0.672385726614641,7.990448739373042,30.643552717740835,6.213409041159703,7.0,604.0,15.259404983353988,16.33568509532674,14.052617167196829,19.822189938663954
4,60.11114453035993,84.71473510656581,6.243545623245609,0.0,0.5146067943551597,7.4434719900172395,14.256461784964184,5.275203149599741,22.0,644.0,18.250229040438914,138.06698271682382,20.191579764330566,19.703606487527647
5,68.53507708084335,21.514024390745167,5.25876109739732,0.0,0.5540100778668613,5.593043213294037,27.845838494597192,6.988244753031291,3.0,509.0,15.49041514820115,172.68851671931122,19.24471018655757,34.13430665581893
6,56.87497132052965,82.04036583692431,5.472216808665171,1.0,0.6394545963430849,6.609093439857689,12.50804974830248,5.027074738435385,12.0,539.0,16.601288344769305,386.91784192297524,35.5601199348152,43.19265029039614
7,32.49506284208575,34.050187669086434,22.602634730406407,0.0,0.6531035450357855,4.791516205008247,44.9298423764989,9.714595028096651,17.0,599.0,20.405017814181914,296.59921055520255,34.22975407478114,45.00215961600277
8,64.40537469096503,20.311293794356114,21.77728999015009,0.0,0.6500900578256943,3.681855510958674,81.9121515528467,10.34626734252372,4.0,262.0,13.656502233207448,258.8457557938224,15.9240015195211,9.225423456632758
9,33.74094950222347,23.204924312812253,7.671237549468356,1.0,0.7647004312161748,6.576202977800716,65.90374064733435,4.491385349584585,16.0,261.0,15.765319687352761,236.43851727882677,6.159422722286058,40.306823617602916
10,70.77346472111414,70.63660406466394,23.881765560979105,1.0,0.5620760752500883,7.023841353846289,73.8265490277972,8.45065000789389,12.0,583.0,20.53926414187329,371.9562381807772,37.46877881038321,11.267222130016092
