Unnamed: 0,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
0,54.88135039273247,86.94885305466322,89.75427646494055,1.0,25.96002334976195,60.62619062265414,1.0585739586393417,81.35816816510619,32,58,22.771359015896465,23.6455713158939,97.2113895924215,75.236630587641
1,71.51893663724195,45.41623969075518,76.99671862500888,0.0,6.007796431325795,98.90880753568537,96.49279429455298,49.86393527400404,30,60,72.74397075582868,37.59624313127088,72.93470099299623,69.49516877790678
2,60.276337607164386,32.670088176826006,35.7424651594713,0.0,20.986047387014196,81.8101050024029,96.20232533557238,59.12202854073818,86,1,64.75524325933526,43.11651309443108,57.7273336360849,85.69845569668989
3,54.48831829968969,23.274412927905686,62.16654364532578,0.0,13.230567485306288,34.06046438843519,21.755221028003845,73.12928092030198,29,17,56.30238367151661,76.38683777001857,36.670813960932755,26.386702462269827
4,42.36547993389047,61.446470647687434,28.856995765169557,0.0,19.32362924745561,15.204702504442203,4.1346372316556685,84.64261639788647,32,43,17.164081662818077,3.345712782056509,4.252508752590867,50.3009832220081
5,64.58941130666561,3.307459147550562,87.43999170748424,0.0,68.5467145913117,78.4058614467154,53.01993630119022,5.8176402376711405,66,55,79.45310119658656,3.8622770027903375,43.254570915798006,48.84374037445324
6,43.75872112626925,1.5606064446828216,11.242731721231126,0.0,4.949974426106774,74.39378206317416,95.14108146164075,77.48038571611511,22,9,14.141411188129604,11.711786752871545,41.24804579304489,32.15825828784888
7,89.17730007820798,42.87957224982378,21.243436129404103,1.0,10.185461524821648,96.70467919793231,91.0395845764935,44.750343997820195,47,55,13.479789472306425,62.83249825850742,82.30622576375538,68.64209866220573
8,96.36627605010293,6.807407397472021,18.303329207992114,0.0,13.417363807828764,87.48423619393388,58.46628638893966,66.07985603015408,40,16,79.50350443033544,41.45466172444473,18.92527061979694,13.423420481476589
9,38.34415188257777,25.19409882460929,40.302600240428866,1.0,31.654112095813403,55.56626252724074,30.354885065370716,76.463301095885,24,67,36.92233278840753,84.89256287623338,74.26448519538485,80.5149132714435
